===========configuration loading success==========
===================configuration===================
learning rate :  0.0001
observation hour [7,19]
observation threshold :  7200
prediction time :  86400
cascade length [5,1000]
model save at : ../model_save/topolstm/weibo/
===================configuration===================
# Epochs:0
Train Loss mSEL:1.115134, Val Loss mSEL:1.108694, Test Loss mSEL:1.076226,
Train acc:0.372501, Val acc:0.371493, Test acc:0.386144,
Train Loss mape:26.006300, Val Loss mape:25.635105, Test Loss mape:23.889688,

# Epochs:40
Train Loss MSEL:3.375849, Val Loss MSEL:3.390535, Test Loss MSEL:3.265439,
Train Loss mSEL:1.109913, Val Loss mSEL:1.126739, Test Loss mSEL:1.082459,
Train acc:0.372955, Val acc:0.362625, Test acc:0.371267,
Train Loss mape:25.928650, Val Loss mape:24.947052, Test Loss mape:23.283998,

# Epochs:41
Train Loss MSEL:3.372716, Val Loss MSEL:3.435502, Test Loss MSEL:3.264220,
Train Loss mSEL:1.111084, Val Loss mSEL:1.074249, Test Loss mSEL:1.035452,
Train acc:0.371148, Val acc:0.382923, Test acc:0.398603,
Train Loss mape:25.881100, Val Loss mape:25.991417, Test Loss mape:24.153667,

# Epochs:42
Train Loss MSEL:3.393109, Val Loss MSEL:3.392860, Test Loss MSEL:3.244947,
Train Loss mSEL:1.115295, Val Loss mSEL:1.120097, Test Loss mSEL:1.090939,
Train acc:0.371010, Val acc:0.365120, Test acc:0.378612,
Train Loss mape:25.947266, Val Loss mape:25.421072, Test Loss mape:23.690947,

# Epochs:43
Train Loss MSEL:3.387050, Val Loss MSEL:3.377511, Test Loss MSEL:3.238196,
Train Loss mSEL:1.114625, Val Loss mSEL:1.115577, Test Loss mSEL:1.080591,
Train acc:0.371442, Val acc:0.365997, Test acc:0.376619,
Train Loss mape:25.930313, Val Loss mape:25.361706, Test Loss mape:23.635828,

# Epochs:44
Train Loss MSEL:3.388338, Val Loss MSEL:3.440474, Test Loss MSEL:3.262516,
Train Loss mSEL:1.112036, Val Loss mSEL:1.105099, Test Loss mSEL:1.067494,
Train acc:0.371820, Val acc:0.378017, Test acc:0.395615,
Train Loss mape:25.976435, Val Loss mape:26.225618, Test Loss mape:24.345383,

# Epochs:45
Train Loss MSEL:3.366601, Val Loss MSEL:3.383182, Test Loss MSEL:3.241122,
Train Loss mSEL:1.109663, Val Loss mSEL:1.104771, Test Loss mSEL:1.071467,
Train acc:0.373217, Val acc:0.373460, Test acc:0.384152,
Train Loss mape:25.927448, Val Loss mape:25.622488, Test Loss mape:23.949390,

# Epochs:46
Train Loss MSEL:3.374675, Val Loss MSEL:3.412307, Test Loss MSEL:3.241649,
Train Loss mSEL:1.113710, Val Loss mSEL:1.089611, Test Loss mSEL:1.041184,
Train acc:0.372249, Val acc:0.377977, Test acc:0.394149,
Train Loss mape:25.933025, Val Loss mape:25.923450, Test Loss mape:24.141451,

# Epochs:47
Train Loss MSEL:3.372044, Val Loss MSEL:3.394084, Test Loss MSEL:3.242083,
Train Loss mSEL:1.115179, Val Loss mSEL:1.102379, Test Loss mSEL:1.056355,
Train acc:0.372356, Val acc:0.368697, Test acc:0.381950,
Train Loss mape:25.936611, Val Loss mape:25.305222, Test Loss mape:23.630730,

# Epochs:48
Train Loss MSEL:3.367177, Val Loss MSEL:3.372829, Test Loss MSEL:3.243475,
Train Loss mSEL:1.108646, Val Loss mSEL:1.113132, Test Loss mSEL:1.073546,
Train acc:0.373412, Val acc:0.367243, Test acc:0.375112,
Train Loss mape:25.923517, Val Loss mape:25.244619, Test Loss mape:23.572741,

# Epochs:49
Train Loss MSEL:3.376269, Val Loss MSEL:3.392020, Test Loss MSEL:3.255588,
Train Loss mSEL:1.125519, Val Loss mSEL:1.140216, Test Loss mSEL:1.102877,
Train acc:0.371089, Val acc:0.361275, Test acc:0.369787,
Train Loss mape:26.082006, Val Loss mape:25.205547, Test Loss mape:23.534910,

# BEST, Val Loss MSEL:3.372829, Test Loss MSEL:3.234732,
